created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 07 13:25:03 +0000 2023;1732753087734206840;"Bila terpilih menjadi Presiden pada 2024, GanjarPranowo minta simpatisan, kader, dan relawan turun langsung berinteraksi dengan warga mensosialisasi program2 Ganjar-Mahfud.   Ganjar terus mengingatkan agar sosialisasi dilakukan secara santun, tanpa harus menyakiti orang maupun… https://t.co/IGBqVsZ8tb";1;0;2;6;in;1357226411832954880;1732753087734206840;_zhyme;https://twitter.com/_zhyme/status/1732753087734206840
Thu Dec 07 13:25:03 +0000 2023;1732753087167959047;"@Wicaksono_J @IwanJonas @ganjarpranowo mas dari jaman soekarno emang udah ada rencana pindah ikn, beban jakarta terlalu berat mas, apalagi studi ilmiah prediksi jakarta akan tenggelam, sekarang aja jakut udah dibawah permukaan laut";0;2;0;0;in;1264548270;1732635553949212783;altazaro;https://twitter.com/altazaro/status/1732753087167959047
Thu Dec 07 13:25:03 +0000 2023;1732753085427232858;"Ganjar Pranowo, calon presiden yang mendukung kesempatan bekerja dan berkarya bagi generasi muda. @riyantivkifstt  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/peVpx1GP7o";0;0;0;0;in;1681241177532829697;1732753085427232858;PutriiDevinaa;https://twitter.com/PutriiDevinaa/status/1732753085427232858
Thu Dec 07 13:24:58 +0000 2023;1732753066020262170;"@ganjarpranowo semoga tidak ada lagi ketidak merataan pembangunan lagi";0;0;0;0;in;1589165294677012480;1732635553949212783;Sunshin32901;https://twitter.com/Sunshin32901/status/1732753066020262170
Thu Dec 07 13:24:53 +0000 2023;1732753045094908140;"Dukungan terhadap Ganjar Pranowo bukan hanya di IKN, tetapi juga di pulau-pulau lain seperti Papua, Sumatera, dan Pulau Sumba, menunjukkan kepercayaan masyarakat terhadap kepemimpinannya. @reonjwinah  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/NXDOiDvxHT";0;0;0;0;in;1678975656938582019;1732753045094908140;putrianjani91;https://twitter.com/putrianjani91/status/1732753045094908140
Thu Dec 07 13:24:44 +0000 2023;1732753005525790799;"@ganjarpranowo Saling mendukung dan bekerja sama akan memastikan bahwa kebutuhan masyarakat dapat terpenuhi dengan baik.";0;0;0;0;in;764953789015003136;1732589528039456768;Baayiikk;https://twitter.com/Baayiikk/status/1732753005525790799
Thu Dec 07 13:24:41 +0000 2023;1732752993425183187;"Ganjar Pranowo diharapkan melanjutkan pembangunan Kota Z dengan menghadirkan solusi pintar untuk transportasi dan lingkungan. @rany_mr  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/NcIPqT1vVY";0;0;0;0;in;1681928084218609664;1732752993425183187;IchsanChaidir12;https://twitter.com/IchsanChaidir12/status/1732752993425183187
Thu Dec 07 13:24:38 +0000 2023;1732752983476347165;"Dukungan untuk Ganjar Pranowo adalah dukungan untuk terciptanya Kota Z yang bebas dari kemacetan. @renjunhuang_00  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/1Bw3cjXQN4";0;0;0;0;in;1680837020149768193;1732752983476347165;adi_kusumaaa;https://twitter.com/adi_kusumaaa/status/1732752983476347165
Thu Dec 07 13:24:36 +0000 2023;1732752971447119906;"Sudah jelas &amp  pasti penerus Pak #Jokowi yaaa cuma Pak #GanjarPranowo doong yang pas dan tepat! #GanjarMahfud2024   Ganjar Tuntaskan IKN AkuKamu KitaPakbowo Milihnya Produk UMKM Lokal Pastikan MasBowogibran #PanganAmanRakyatNyaman Rohingya visi masbowogibran tepat https://t.co/aJTZYRygiH";0;0;0;0;in;1564138199223762944;1732752971447119906;vinoofeb;https://twitter.com/vinoofeb/status/1732752971447119906
Thu Dec 07 13:24:26 +0000 2023;1732752930934317387;"Ganjar Pranowo membuktikan bahwa pembangunan IKN bukan sekadar janji politik, tetapi benar-benar dijalankan untuk kebaikan bersama. @iqrarzahin  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/iayp0dRWLX";0;0;0;0;in;1683683214186147840;1732752930934317387;NisaPermat25951;https://twitter.com/NisaPermat25951/status/1732752930934317387
